milestone,experiment,checkpoint,code_revision,worktree_state,training_source_capture_status,training_source_snapshot_sha256,artifact_assembly_source_snapshot_sha256,stable_baselines3_version,engine_binary_sha256,scenario_config_sha256,scenario_map_sha256,scenario_seed,scenario_ai_seed,scenario_rng,evaluation_scenario_variants,observed_unique_episode_results,evaluation_claim_scope,success_contract,run_dir,stop_reason,safety_cap_steps,model_training_steps,steps_this_invocation,resume_from,training_seed,observation_dim,action_dim,sim_steps_per_action,solve_check_episodes,solve_success_threshold,solve_checks,evaluation_episodes,evaluation_successes,evaluation_truncations,evaluation_seed_start,evaluation_seed_end,deterministic,success_rate,mean_total_reward,reward_semantics,mean_steps,mean_simulation_turns,mean_final_distance,mean_episode_resource_stock_delta,resolved_config_sha256,model_sha256,replay_buffer_sha256,replay_buffer_transitions,metrics_sha256,metadata_sha256,checkpoint_manifest_sha256,checkpoint_manifest_path,model_path,metrics_path,metadata_path
M0,rl/configs/m0_sb3_sac.toml,final,68728d59dc7d9b61e698aed0d859228181ee50d8,uncommitted_changes,not_captured_dirty_worktree,,7e742db32ec308215f78b4cc64ef1539115199f5e37bb126d01b7dc6354310c1,2.9.0,5845ad46d21cbb4af1a8156ad384f9fcf67d33ab1b33ee1808eb15ae2c3da6a4,3c00ad198d126dda9651568def6ca4736a4bf442b16e02529266de94674e32e0,b4895bb289e1d7e80d8250d825e5b2061678063174b7afdae169a32de61f5fcb,0,0,none,1,1,fixed_scenario_repeatability,distance_m_le_12,rl/runs/m0_sb3_sac-20260810T202855671902Z,solved,50000,1256,0,rl/runs/m0_sb3_sac-20260810T194112812401Z/model.zip,0,5,2,10,20,0.8,1,20,20,0,1000,1019,true,1.0,156.94787688782262,distance_delta,9.0,90.0,3.0521231121773913,,7b05a517729868fb7eee8011610187c9c22c8aaf010f76339434632681ed5945,1de5151265952badce041f1ff6b37a2e8b146816e8e9f8ebdd5eb830aa60a4e1,63ead9b7252c7ed3107243796bb35467d6bc81c960ac7c8a0feb5c24921b3f2f,1256,4894eaf4ed5dec41a13156aae4ea67c896eb48ebce3314b24ab08a773c3be4e2,83eec183311c878effbb55b785061c3b84a032e9b501fc084d333bf5479cf229,a0c76aa851ec239f07f8b9614c88d0297714728088c947224f963849ac4192a9,rl/runs/m0_sb3_sac-20260810T202855671902Z/model.checkpoint.json,rl/runs/m0_sb3_sac-20260810T202855671902Z/model.zip,rl/runs/m0_sb3_sac-20260810T202855671902Z/metrics.json,rl/runs/m0_sb3_sac-20260810T202855671902Z/metadata.json
M1,rl/configs/m1_sb3_sac.toml,final,68728d59dc7d9b61e698aed0d859228181ee50d8,uncommitted_changes,not_captured_dirty_worktree,,7e742db32ec308215f78b4cc64ef1539115199f5e37bb126d01b7dc6354310c1,2.9.0,5845ad46d21cbb4af1a8156ad384f9fcf67d33ab1b33ee1808eb15ae2c3da6a4,3c00ad198d126dda9651568def6ca4736a4bf442b16e02529266de94674e32e0,b4895bb289e1d7e80d8250d825e5b2061678063174b7afdae169a32de61f5fcb,0,0,none,1,1,fixed_scenario_repeatability,wood_stock_delta_ge_1,rl/runs/m1_sb3_sac-20260810T200849454275Z,solved,500000,12520,12520,,0,10,3,80,20,0.8,5,20,20,0,1000,1019,true,1.0,28.343860733093106,stock_delta_plus_shaping,6.0,480.0,64.39789470379014,20.0,4af13c63b67236f7ccb4cceb0141b70a62a90ef4f29aacd12c77f3eafb9ded0b,ffb5c7b47a2c6a7d318cba4435a7fc6e616743a6143e7a278b9a3612e108689f,ecf820001bbe65f4d5e372b9fb987976e1f6ceee707f57ebbedc6c9df5c58a78,12520,f3e63eaed3d3e30d5f54a61155a881b78284fcc788bdba9bec496119381965d2,b27965edc84ff0a2f9b225db5d15c9113eaf7ca75835efbf7d7494056b606b58,ef16cf0251a96b4d8f6731a0a187fe5d489433659547388ed0789b573cde2618,rl/runs/m1_sb3_sac-20260810T200849454275Z/model.checkpoint.json,rl/runs/m1_sb3_sac-20260810T200849454275Z/model.zip,rl/runs/m1_sb3_sac-20260810T200849454275Z/metrics.json,rl/runs/m1_sb3_sac-20260810T200849454275Z/metadata.json
